product_key,product_name,brand,product_url
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,155444,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
happydogsupreme|happydogsupremesensitiveindia|dry,Happy Dog Supreme Sensitive India,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1949022?activeVariant=1949022.0
hill's_science_plan|hill's_science_plan_mature_adult_7+|wet,Mature Adult 7+,Hill's Science Plan,https://www.zooplus.com/shop/dogs/canned_dog_food/hills_science_plan/128629?activeVariant=128629.6
hillsprescriptiondiet|hillsprescriptiondietcaninekdmobilitykidneyjointca|dry,Hill’s Prescription Diet Canine k/d Mobility + Kidney + Joint Care,Hill'S Prescription Diet,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/renal/625553?activeVariant=625553.1
hillsprescriptiondiet|hillsprescriptiondietdermcompletemini|dry,Hill's Prescription Diet Derm Complete Mini,Hill'S Prescription Diet,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/allergies_intolerances/1083238?activeVariant=1083238.1
hillsprescriptiondiet|hillsprescriptiondietzdfoodsensitivities|dry,Hill's Prescription Diet z/d Food Sensitivities,Hill'S Prescription Diet,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/1949012?activeVariant=1949012.0
hillsscienceplan|hillsscienceplanmatureadultseniorvitality7smallmin|dry,Hill's Science Plan Mature Adult Senior Vitality 7+ Small & Mini with Chicken,Hill'S Science Plan,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/937834?activeVariant=937834.1
jameswellbeloved|james_wellbeloved_adult_dog_grain_free_hypoallergenic_turkey_in_p_t_|wet,James Wellbeloved Adult Dog Grain Free Hypoallergenic Turkey in Pâté,Jameswellbeloved,https://www.zooplus.com/shop/dogs/canned_dog_food/jameswellbeloved/2220337?activeVariant=2220337.0
josera|josidogeconomy|dry,JosiDog Economy,Josera,https://www.zooplus.com/shop/dogs/dry_dog_food/josera/1583542?activeVariant=1583542.0
juliusk9|juliusk9highpremiumadulthypoallergenicfish|dry,JULIUS-K9 High Premium Adult Hypoallergenic Fish,Julius-K9,https://www.zooplus.com/shop/dogs/dry_dog_food/julius_k9/adult/1996164?activeVariant=1996164.0
libra|libradogpuppychicken|dry,Libra Dog Puppy Chicken,Libra,https://www.zooplus.com/shop/dogs/dry_dog_food/libra/libra_puppy/1920366?activeVariant=1920366.2
lilyskitchen|lilyskitchengrainfreemenusfordogs|wet,Lily's Kitchen Grain-Free Menus for Dogs,Lily'S Kitchen,https://www.zooplus.com/shop/dogs/canned_dog_food/lilys_kitchen_wet_dog_food/lilys_kitchen_can_dog_food/2093023?activeVariant=2093023.4
